Company Name,Company Location,Industry,Number of Employees,Company Revenue
Acme Corporation,New York,Technology,250.0,10000000.0
Alpha Industries,San Francisco,Technology,150.0,7500000.0
GlobalTech Solutions,New York,Technology,250.0,10000000.0
Advanced Systems,San Francisco,Technology,150.0,7500000.0
SilverTech Corporation,Boston,Technology,400.0,20000000.0
Optimum Systems,Atlanta,Technology,350.0,15000000.0
Innovate IT,Austin,Technology,200.0,10000000.0
Global Solutions 2.0,New York,Technology,250.0,10000000.0
Advanced Enterprises,San Francisco,Technology,150.0,7500000.0
SilverCorp,Boston,Technology,400.0,20000000.0
Optima Solutions,Atlanta,Technology,350.0,15000000.0
Innovation Inc.,Austin,Technology,200.0,10000000.0
Global Solutions 3.0,New York,Technology,250.0,10000000.0
Advanced Innovations,San Francisco,Technology,150.0,7500000.0
SilverTech Solutions,Boston,Technology,400.0,20000000.0
Optimal Systems 2.0,Atlanta,Technology,350.0,15000000.0
Innovative IT 2.0,Austin,Technology,200.0,10000000.0
Global Solutions 4.0,New York,Technology,250.0,10000000.0
Advanced Enterprises 2.0,San Francisco,Technology,150.0,7500000.0
SilverCorp 2.0,Boston,Technology,400.0,20000000.0
Optima Solutions 2.0,Atlanta,Technology,350.0,15000000.0
Innovation Inc. 2.0,Austin,Technology,200.0,10000000.0
Global Solutions 5.0,New York,Technology,250.0,10000000.0
Advanced Innovations 2.0,San Francisco,Technology,150.0,7500000.0
SilverTech Solutions 2.0,Boston,Technology,400.0,20000000.0
Optimal Systems 3.0,Atlanta,Technology,350.0,15000000.0
Innovative IT 3.0,Austin,Technology,200.0,10000000.0
Global Solutions 6.0,New York,Technology,250.0,10000000.0
Advanced Enterprises 3.0,San Francisco,Technology,150.0,7500000.0
SilverCorp 3.0,Boston,Technology,400.0,20000000.0
Optima Solutions 3.0,Atlanta,Technology,350.0,15000000.0
Innovation Inc. 3.0,Austin,Technology,200.0,10000000.0
Global Solutions 7.0,New York,Technology,250.0,10000000.0
Advanced Innovations 3.0,San Francisco,Technology,150.0,7500000.0
SilverTech Solutions 3.0,Boston,Technology,400.0,20000000.0
Optimal Systems 4.0,Atlanta,Technology,350.0,15000000.0
Innovative IT 4.0,Austin,Technology,200.0,10000000.0
Global Solutions 8.0,New York,Technology,250.0,10000000.0
Advanced Enterprises 4.0,San Francisco,Technology,150.0,7500000.0
SilverCorp 4.0,Boston,Technology,400.0,20000000.0
Optima Solutions 4.0,Atlanta,Technology,350.0,15000000.0
Innovation Inc. 4.0,Austin,Technology,200.0,10000000.0
Global Solutions 9.0,New York,Technology,250.0,10000000.0
Advanced Innovations 4.0,San Francisco,Technology,150.0,7500000.0
SilverTech Solutions 4.0,Boston,Technology,400.0,20000000.0
Optimal Systems 5.0,Atlanta,Technology,350.0,15000000.0
Innovative IT 5.0,Austin,Technology,200.0,10000000.0
Global Solutions 10.0,New York,Technology,250.0,10000000.0
Advanced Enterprises 5.0,San Francisco,Technology,150.0,7500000.0
SilverCorp 5.0,Boston,Technology,400.0,20000000.0
Optima Solutions 5.0,Atlanta,Technology,350.0,15000000.0
Innovation Inc. 5.0,Austin,Technology,200.0,10000000.0
Global Solutions 11.0,New York,Technology,250.0,10000000.0
Advanced Innovations 5.0,San Francisco,Technology,150.0,7500000.0
SilverTech Solutions 5.0,Boston,Technology,400.0,20000000.0
Optimal Systems 6.0,Atlanta,Technology,350.0,15000000.0
Innovative IT 6.0,Austin,Technology,200.0,10000000.0
Global Solutions 12.0,New York,Technology,250.0,10000000.0
Advanced Enterprises 6.0,San Francisco,Technology,150.0,7500000.0
SilverTech Solutions 6.0,Boston,Technology,400.0,20000000.0
Optima Solutions 7.0,Atlanta,Technology,350.0,15000000.0
Innovation Inc. 7.0,Austin,Technology,200.0,10000000.0
Global Solutions 13.0,New York,Technology,250.0,10000000.0
Advanced Innovations 6.0,San Francisco,Technology,150.0,7500000.0
